"station_id","song"
"radiozurnal","OLLY MURS,  DEMI LOVATO - UP"
"radiozurnal","TICHÁ DOHODA - VEČÍREK OSAMĚLÝCH SRDCÍ"
"radiozurnal","SHAWN MENDES - IN MY BLOOD"
"radiozurnal","CRANBERRIES - LINGER"
"radiozurnal","GEORGE MICHAEL - SOMEBODY TO LOVE"
"radiozurnal","RUDIMENTAL,  JESS GLYNNE,  MACKLEMORE,  DAN CAPLEN - THESE DAYS"
"radiozurnal","GEORGE HARRISON - GOT MY MIND SET ON YOU"
"radiozurnal","ATOMIC KITTEN - SOMEONE LIKE ME"
"radiozurnal","BRUCE SPRINGSTEEN - DANCING IN THE DARK"
"radiozurnal","ZUCCHERO - BLUE"
"radiozurnal","LIAM PAYNE,  RITA ORA - FOR YOU"
"radiozurnal","ALPHAVILLE - SOUNDS LIKE A MELODY"
"radiozurnal","READY KIRKEN - KRASOHLED"
"radiozurnal","ROXETTE - HOW DO YOU DO!"
"radiozurnal","DEPECHE MODE - PERSONAL JESUS"
"radiozurnal","TRAIN - DRIVE BY"
"radiozurnal","DEAN LEWIS - BE ALRIGHT"
"radiozurnal","R.E.M. - EVERYBODY HURTS"
"radiozurnal","AVICII - WAKE ME UP"
"radiozurnal","RADIM HLADÍK & BLUE EFFECT - ČAJOVNA"
"radiozurnal","LEWIS CAPALDI - SOMEONE YOU LOVED"
"radiozurnal","MANIC STREET PREACHERS - IF YOU TOLERATE THIS YOUR CHILDREN WILL BE NEXT"
"radiozurnal","SIA - NEVER GIVE UP"
"radiozurnal","STATUS QUO - IN THE ARMY NOW"
"radiozurnal","DURAN DURAN - ORDINARY WORLD"
"radiozurnal","NEIL YOUNG - HEART OF GOLD"
"radiozurnal","MANS ZELMERLÖW - HAPPYLAND"
"radiozurnal","POINTER SISTERS - I'M SO EXCITED"
"radiozurnal","LENNY KRAVITZ - AGAIN"
"radiozurnal","SURVIVOR - EYE OF THE TIGER"
"radiozurnal","SARAH BRIGHTMAN, ANDREA BOCELLI - TIME TO SAY GOODBYE"
"radiozurnal","MIROSLAV ŽBIRKA,  MAGDA ŠALAMOUNOVÁ - TENTO SONG"
"radiozurnal","FRANKIE GOES TO HOLLYWOOD - THE POWER OF LOVE"
"radiozurnal","ALLE FARBEN,  YOUNOTUS,  KELVIN JONES - ONLY THING WE KNOW"
"radiozurnal","MICHAEL BOLTON - WHEN A MAN LOVES A WOMAN"
"radiozurnal","BON JOVI - KEEP THE FAITH"
"radiozurnal","ED SHEERAN - LEGO HOUSE"
"radiozurnal","U 2 - WITH OR WITHOUT YOU"
"radiozurnal","ROBERT MILES, MARIA NAYLER - ONE AND ONE"
"radiozurnal","DAVID STYPKA,  EWA FARNÁ - DOBRÉ RÁNO, MILÁ"
"radiozurnal","QUEEN - I WAS BORN TO LOVE YOU"
"radiozurnal","MELANIE C - FIRST DAY OF MY LIFE"
"radiozurnal","LIONEL RICHIE - MY DESTINY"
"radiozurnal","INXS - NEVER TEAR US APART"
"radiozurnal","MADONNA - THE POWER OF GOOD-BYE"
"radiozurnal","LUCIE - TAKHLE TĚ MÁM RÁD"
"radiozurnal","ELTON JOHN - CAN YOU FEEL THE LOVE TONIGHT"
"radiozurnal","ROBERT PALMER - JOHNNY AND MARY"
"radiozurnal","ALICIA KEYS - EMPIRE STATE OF MIND (PART II BROKEN DOWN)"
"radiozurnal","BEATLES - I SHOULD HAVE KNOWN BETTER"
"radiozurnal","REA GARVEY - IS IT LOVE?"
"radiozurnal","NO GUITARS - ČERNÁ RŮŽE"
"radiozurnal","COLDPLAY - EVERY TEARDROP IS A WATERFALL"
"radiozurnal","TANITA TIKARAM - TWIST IN MY SOBRIETY"
"radiozurnal","EAGLE-EYE CHERRY - SAVE TONIGHT"
"radiozurnal","ZAZ - QUE VENDRÁ"
"radiozurnal","NAZARETH - LOVE HURTS"
"radiozurnal","JUNGE JUNGE,  KYLE PEARCE - RUN RUN RUN"
"radiozurnal","BRYAN ADAMS - PLEASE FORGIVE ME"
"radiozurnal","LUKAS GRAHAM - LOVE SOMEONE"
"radiozurnal","PAUL YOUNG - LOVE OF THE COMMON PEOPLE"
"radiozurnal","ANETA LANGEROVÁ - PODZIM"
"radiozurnal","ROXETTE - IT MUST HAVE BEEN LOVE"
"radiozurnal","SUPPORT LESBIENS - ŽIVOTNÍ"
"radiozurnal","WHITNEY HOUSTON - RUN TO YOU"
"radiozurnal","ROD STEWART - LOOK IN HER EYES"
"radiozurnal","NO NAME - ŽILY"
"radiozurnal","MARIAH CAREY - WITHOUT YOU"
"radiozurnal","HOLLIES - BUS STOP"
"radiozurnal","LIGHT & LOVE - BLUEBERRY SKY"
"radiozurnal","LAID BACK - BAKERMAN"
"radiozurnal","JIMMY CLIFF - I CAN SEE CLEARLY NOW"
"radiozurnal","VERVE - BITTER SWEET SYMPHONY"
"radiozurnal","MIRAI - ANDĚL"
"radiozurnal","CHER - IF I COULD TURN BACK TIME"
"radiozurnal","KEANE - THIS IS THE LAST TIME"
"radiozurnal","STING - FIELDS OF GOLD"
"radiozurnal","JAROMÍR NOHAVICA - MÁM JIZVU NA RTU"
"radiozurnal","BACKSTREET BOYS - CHANCES"
"radiozurnal","PHIL COLLINS - EVERYDAY"
"radiozurnal","OF MONSTERS AND MEN - LITTLE TALKS"
"radiozurnal","EMILIA - BIG BIG WORLD"
"radiozurnal","LUCAS & STEVE - UP TILL DAWN (ON THE MOVE)"
"radiozurnal","PINK FLOYD - TAKE IT BACK"
"radiozurnal","RICHARD MARX - RIGHT HERE WAITING"
"radiozurnal","JOE COCKER - SUMMER IN THE CITY"
"radiozurnal","MICHAL HRŮZA,  ANNA K. - TEN, KDO TĚ MILOVAL"
"radiozurnal","ONE REPUBLIC - GOOD LIFE"
"radiozurnal","PAUL SIMON/ART GARFUNKEL - CECILIA"
"radiozurnal","P!NK - TRUE LOVE"
"radiozurnal","SAVAGE GARDEN - TRULY MADLY DEEPLY"
"radiozurnal","LEONARD COHEN - SUZANNE"
"radiozurnal","CLIFF RICHARD - SOME PEOPLE"
"radiozurnal","MIROSLAV ŽBIRKA,  KATKA KNECHTOVÁ - SKÚŠKA SNOV"
"radiozurnal","TIMMY T. - ONE MORE TRY"
"radiozurnal","RED HOT CHILI PEPPERS - THE ADVENTURES OF RAIN DANCE MAGGIE"
"radiozurnal","ROXETTE - VULNERABLE"
"radiozurnal","LENNY - HOME"
"radiozurnal","LIMAHL - NEVERENDING STORY"
"radiozurnal","DAVID KOLLER - CHCI ZAS V TOBĚ SPÁT"
"radiozurnal","AVA MAX - SWEET BUT PSYCHO"
"radiozurnal","JERMAINE JACKSON, PIA ZADORA - WHEN THE RAIN BEGINS TO FALL"
"radiozurnal","LANA DEL REY - SUMMERTIME SADNESS"
"radiozurnal","MARMELADE - OB-LA-DI,OB-LA-DA"
"radiozurnal","CLEAN BANDIT,  ZARA LARSSON - SYMPHONY"
"radiozurnal","ENYA - ONLY IF..."
"radiozurnal","XINDL X - DOČASNÁ SVATÁ"
"radiozurnal","HEART - ALL I WANNA DO IS MAKE LOVE TO YOU"
"radiozurnal","GEORGE EZRA - SHOTGUN"
"radiozurnal","LARRY MULLEN, ADAM CLAYTON - THEME FROM MISSION: IMPOSSIBLE"
"radiozurnal","BIRDY - KEEPING YOUR HEAD UP"
"radiozurnal","EUROPE - CARRIE"
"radiozurnal","TOM WALKER - MY WAY"
"radiozurnal","BEAUTIFUL SOUTH - ROTTERDAM OR ANYWHERE"
