"person_id","data","first_name","last_name","age","member_party","nominate_party","dist_no","party_no","party_name","list_no","titles","abs_votes","pct_votes","rank","mandate","municipality_id","highest_title","gender","row_id","approx_birth_year","occupation","residence","name"
195945,"municipal_2002","Jiří","Jelínek",41,"BEZPP","ODS",NA,2,"Občanská demokratická strana",5,"",192,5.22,5,TRUE,571911,"No title","Male",91122,1961,NA,NA,NA
70136,"municipal_2006","Jan","Jelínek",63,"KDU-ČSL","KDU-ČSL",NA,NA,"
Křesť.demokr.unie-Čs.str.lid.
",1,"Ing.",174,14.98,1,TRUE,571911,"Master","Male",38594,1943,"projektant","Nasavrky",NA
195945,"municipal_2006","Jiří","Jelínek",45,"BEZPP","ODS",NA,NA,"
Občanská demokratická strana
",4,"",220,5.73,4,TRUE,571911,"No title","Male",38612,1961,"vedoucí střediska","Nasavrky",NA
70136,"municipal_2010","Jan","Jelínek",67,"KDU-ČSL","KDU-ČSL",NA,NA,"
Sdružení KDU-ČSL, NK
",2,"Ing.",111,11.78,1,TRUE,571911,"Master","Male",46872,1943,"důchodce","Nasavrky","Jelínek Jan Ing."
195945,"municipal_2010","Jiří","Jelínek",49,"BEZPP","ODS",NA,NA,"
Občanská demokratická strana
",9,"",172,5.36,5,FALSE,571911,"No title","Male",46909,1961,"vedoucí střediska","Nasavrky","Jelínek Jiří"
70136,"municipal_2014","Jan","Jelínek",71,"KDU-ČSL","KDU-ČSL",NA,NA,"
KOALICE PRO NASAVRCKO
",3,"Ing.",118,9.5,2,FALSE,571911,"Master","Male",44722,1943,"OSVČ","Nasavrky","Jelínek Jan Ing."
195945,"municipal_2014","Jiří","Jelínek",53,"BEZPP","ANO",NA,NA,"
ANO 2011
",12,"",148,4.57,7,FALSE,571911,"No title","Male",44716,1961,"mistr servisu HNS","Nasavrky","Jelínek Jiří"
70136,"municipal_2018","Jan","Jelínek",75,"KDU-ČSL","KDU-ČSL",1,355,"KOALICE PRO NASAVRCKO",4,"",0,0,NA,FALSE,571911,"No title","Male",119804,1943,NA,NA,"Jelínek Jan"
657858,"municipal_2018","Michal","Jelínek",35,"BEZPP","ANO",1,768,"ANO 2011",6,"",0,0,NA,FALSE,571911,"No title","Male",119821,1983,NA,NA,"Jelínek Michal"
70149,"municipal_1994","František","Jeníček",56,"KDU-ČSL","KDU-ČSL",NA,5,"Křesť.a dem.unie-Čs.str.lidová",14,"",185,6.73,10,FALSE,571911,"No title","Male",70149,1938,NA,NA,NA
70149,"municipal_2006","František","Jeníček",68,"KDU-ČSL","KDU-ČSL",NA,NA,"
Křesť.demokr.unie-Čs.str.lid.
",15,"",72,6.2,14,FALSE,571911,"No title","Male",38608,1938,"důchodce","Nasavrky - Ochoz",NA
195944,"municipal_1998","Bohumila","Jeníčková",57,"BEZPP","KDU-ČSL",NA,4,"Křesť.demokr.unie-Čs.str.lid.",14,"",65,4.43,12,FALSE,571911,"No title","Female",85028,1941,NA,NA,NA
195944,"municipal_2002","Bohumila","Jeníčková",61,"BEZPP","KDU-ČSL",NA,4,"Koalice KDU-ČSL, US-DEU",14,"",58,2.85,11,FALSE,571911,"No title","Female",91161,1941,NA,NA,NA
442951,"municipal_2010","Josef","Jeřábek",54,"BEZPP","KSČM",NA,NA,"
Komunistická str.Čech a Moravy
",13,"",82,4.05,11,FALSE,571911,"No title","Male",46898,1956,"učitel","Nasavrky","Jeřábek Josef"
